5.7	8.3	7	7.3	6.8	8.5	5.4	6.4	7.2	6.1	6.8	6.7	5.7	6.6	6.4	5.1	6.6	7.3	7.2	7	6.9	5	6.4	5.3	7	6.5	6.6	6.9	7.3	8.2	8.2	5.9	8.3	5.7	6.5	5.7	5.5	6.2	5.1	5.4	6.7	5.9	5.4	6.2	6.3	5.1	5.7	5.8	5.7	5.9	6.3	5.6	6.1	7.3	7.3	6.9	5.7	7.4	5.8	5.9	8.4	8.3	5.8	7	6.8	7.3	7.8	6.9	7.3	5.8	6.6	6.6	5.7	5.9	7	8.5	6.8	7.6	6.3	5.7	7.5	6.1	7.2	8.2	5.6	7.2	5.6	5.3	6.1	5.1	7.5	6.3	7.6	6.2	6	6.4	7.1	7.6	6	5.8
5.1	5.2	8.7	5.2	5.9	5.2	7.4	NaN	9.1	6.6	5.1	5.2	6	6.4	6.2	8.6	6.8	5.6	NaN	5.5	6	6.2	6.8	7.2	8	5.3	NaN	5.4	5.1	5.1	5.8	8.1	6.1	8.6	6.3	5.7	6.1	5.8	5.1	6.8	5.1	5.1	5.1	5	5.5	6.5	5.7	5.8	6.7	7.4	5.8	5.6	6.2	5	5.4	6.2	5.7	6.3	7.1	5.5	5.8	5.9	5.1	6	5.4	5.3	5.5	5.1	5	5.1	5.1	6.2	5.2	5.4	5.3	5.1	5.1	5	7.7	6.5	5.4	5.8	5.8	5.1	5.2	5.2	7.2	5	5.1	5	NaN	7.4	7.1	5	NaN	7	5.1	5.1	5	5.1
5.1	5.1	7.5	5.2	5.9	5.9	5.8	9	NaN	8.3	5.1	5.2	5.9	6	6	NaN	NaN	5.8	6.6	5.6	5.4	6.3	6.8	6.8	8.3	5.3	NaN	5.2	5.1	5	5.8	8	5.2	7.8	5.5	5.9	5.7	7.8	5.1	6.8	5.1	5.1	5.1	5	5.3	5.1	6	5.8	5.7	8.3	5.8	6.3	5.7	5.2	5.2	6.2	5.7	6.8	NaN	5.2	5.6	5.9	5.3	5.2	5.1	5.2	6.6	5.1	5.2	5.1	5.9	6	5.2	5.4	5.3	5.1	5.1	5	6	7.7	6	5.8	5.8	5.2	5.2	6.5	6.3	5	5.1	5	5.3	7.8	8.2	5	6.3	NaN	5.1	5.7	5	5.1
5.1	6	6.8	5.7	6	5.3	7.6	7.9	7.8	6.7	5.1	5.7	5.7	5.8	5.8	7.7	6.8	6.3	5	5.5	5.8	6.4	6.4	6.7	7.9	5.3	5	5.8	5.1	5	NaN	8.4	6.2	8.2	6.6	6.3	5.5	5.8	5.1	6.5	5.1	5.1	5.1	5	5.3	6.2	5.7	5.8	6.7	5.9	5.8	5.6	5.7	5.1	5.2	5.8	5.7	5.4	6.9	5.7	6.3	5.9	5.8	8.4	5.6	5.2	6.7	6.1	5.1	5.1	5.2	6.8	6.1	5.9	5.3	5.1	5.1	5	7.1	6	5.4	5.8	5.8	5.2	5.2	6.2	8	5	5.1	5	5.3	7.6	8.2	NaN	6.8	6.3	5.6	5.6	5	5.1
5.1	5.8	8.2	5.6	5.9	5.2	6.8	8.8	8.2	6.1	5.1	5.2	5.9	5.8	5.8	8	6.2	5.9	5.6	5.5	5.8	5.3	5.8	6	7.1	5.3	5.3	5.2	5.1	5.1	5.8	7.3	5.9	7.9	5.9	5.7	5.7	5.8	5.1	6	5.1	5.1	5.1	5	5.3	5.8	5.7	5.8	6	6.6	5.8	5.6	5.7	5	5.2	5.8	5.7	5.4	NaN	5.3	5.4	5.9	5.3	5.5	5.7	5.2	5.5	5.1	5.6	5.1	5.3	5.9	5.2	5.4	5.3	5.1	5.1	5	6.8	5.7	5.4	5.8	5.8	5.1	5.2	5.2	6.9	5	5.1	5	5.3	6.6	7	5	5.8	6	5.5	5.6	5	5.1
5.1	NaN	8.6	NaN	5.9	5.2	5.3	8.4	8.4	6.1	5.1	5.2	6	5.8	5.8	7.5	NaN	NaN	NaN	NaN	5.4	5	5.6	5.3	NaN	5.3	5	5	5.1	NaN	NaN	NaN	5.8	6.5	NaN	NaN	5.5	5.8	5.1	5.4	NaN	5.5	5.1	5	5.3	5.7	5.7	5.9	5.7	5.9	5.8	NaN	6	5.7	5.2	NaN	NaN	6.1	5.8	5.1	NaN	NaN	5	NaN	NaN	NaN	NaN	NaN	5	5.1	NaN	NaN	NaN	5.4	NaN	5.1	5.1	5	6.3	5.3	NaN	NaN	NaN	5.1	5.2	NaN	NaN	NaN	5.1	5	NaN	NaN	NaN	NaN	NaN	NaN	NaN	5.1	NaN	NaN
5.1	5.7	8.4	5.2	5.9	5.3	6.1	9.2	8.5	6.1	5.1	5.4	5.9	6	5.9	NaN	5.9	NaN	NaN	5.5	5.8	5	5.9	6	7.3	5.3	5	5.2	5.6	5.1	5.8	7	5.5	7.2	6	5.7	6	5.8	5.1	6.3	5.1	5.1	NaN	5.1	5.6	6	5.7	5.8	5.7	6.7	5.8	5.6	5.9	6	5.5	5.8	5.7	6.1	6	5.2	5.3	5.9	5.7	5.2	5.4	5.2	5.5	5.2	6.1	5.1	5.1	5.7	5.2	5.4	5.3	NaN	5.1	5	6.3	5.9	5.4	5.8	5.8	5.1	5.4	5.4	7	5.4	5.1	5	5.3	7.5	5.8	5.1	5.9	5.7	5.4	5.3	5	5.1
5.1	6.1	7.1	5.2	5.9	5.2	5.9	8	7.3	6.5	5.1	5.3	5.9	6.6	5.9	6.9	6.5	6.2	5.9	5.5	5.7	5.1	6	NaN	8.3	5.3	5.2	5.2	5.1	5	5.8	7.8	6.2	6.5	5.9	5.7	5.9	6	5.1	6.3	5.1	5.2	5.1	5	5.3	6.4	5.7	5.8	5.7	6.9	NaN	5.6	5.7	5	5.6	5.8	6.2	5.3	6.9	5.3	5.2	5.9	5.7	5.2	5.1	5.2	5.5	5.1	5	5.1	5.8	6.3	5.2	5.4	5.3	5.1	5.1	5	6.8	NaN	5.4	5.8	5.8	5.1	5.2	5.2	7.8	5	5.1	5	5.3	7.7	7.5	5	6.8	6.2	5.1	5.1	5	5.1
5.1	5.1	7.2	5.2	5.9	5.2	5.3	8.4	8.1	6.1	5.1	5.2	6	5.8	5.8	7.7	5.8	5.2	6.4	5.5	5.4	5	6.8	6.2	7	5.3	5.6	5.2	5.1	5.2	5.8	7.6	5.1	7.4	5.1	5.7	6.1	6.5	5.1	6.5	5.1	5.1	5.1	5	5.3	5.1	5.7	5.8	5.7	6.2	5.8	5.6	5.7	5	5.2	5.9	5.7	6	6.2	5.2	5.2	5.9	5.6	5.2	5.1	5.2	5.5	5.1	5.1	5.1	5.1	6.3	5.2	5.4	5.3	5.1	NaN	5	5.8	5.4	5.4	5.8	5.8	5.1	5.8	5.2	5.4	5	5.1	5	NaN	5.6	5.2	5.3	5.8	5	5.1	5.1	5	5.1
5.1	5.2	9	5.7	5.9	6.5	5.5	8.7	9.4	6.3	5.1	5.2	5.7	5.8	5.8	NaN	6.3	5.6	5.7	5.7	5.9	5.1	5.8	5.7	6.8	5.3	5	5.2	5.1	NaN	5.8	6.3	5.5	6.4	5.8	5.7	6.4	NaN	5.1	5.5	5.1	5.1	5.1	5	5.3	5.2	NaN	5.8	5.7	9.5	5.8	5.6	5.7	5	5.2	5.8	5.7	5.1	6.3	5.2	5.2	5.9	5.3	6	6.2	5.8	5.5	5.5	5.1	5.1	5.1	5.7	5.2	5.4	5.3	NaN	5.1	5	6.3	5.7	5.4	5.8	5.8	5.1	5.2	5.5	6.7	5	5.1	5	5.3	7.2	6.8	5	5.8	5.5	5.1	6	5	5.1
